00001 A00     0 Cholera                                                      Cholera
01761 C463    1 Kaposi's sarcoma of lymph nodes                              Kaposi's sarcoma of lymph nodes
01762 C464    1 Kaposi's sarcoma of gastrointestinal sites                   Kaposi's sarcoma of gastrointestinal sites
01763 C465    0 Kaposi's sarcoma of lung                                     Kaposi's sarcoma of lung
01764 C4650   1 Kaposi's sarcoma of unspecified lung                         Kaposi's sarcoma of unspecified lung
01765 C4651   1 Kaposi's sarcoma of right lung                               Kaposi's sarcoma of right lung
01766 C4652   1 Kaposi's sarcoma of left lung                                Kaposi's sarcoma of left lung
01767 C467    1 Kaposi's sarcoma of other sites                              Kaposi's sarcoma of other sites
01768 C469    1 Kaposi's sarcoma, unspecified                                Kaposi's sarcoma, unspecified
01769 C47     0 Malignant neoplasm of prph nerves and autonomic nervous sys  Malignant neoplasm of peripheral nerves and autonomic nervous system
01770 C470    1 Malignant neoplasm of prph nerves of head, face and neck     Malignant neoplasm of peripheral nerves of head, face and neck
01771 C471    0 Malig neoplasm of prph nerves of upper limb, inc shoulder    Malignant neoplasm of peripheral nerves of upper limb, including shoulder
01772 C4710   1 Malig neoplm of prph nerves of unsp upper limb, inc shoulder Malignant neoplasm of peripheral nerves of unspecified upper limb, including shoulder
01773 C4711   1 Malig neoplm of prph nerves of right upper limb, inc shldr   Malignant neoplasm of peripheral nerves of right upper limb, including shoulder
01774 C4712   1 Malig neoplm of prph nerves of left upper limb, inc shoulder Malignant neoplasm of peripheral nerves of left upper limb, including shoulder
01775 C472    0 Malignant neoplasm of prph nerves of lower limb, inc hip     Malignant neoplasm of peripheral nerves of lower limb, including hip
01776 C4720   1 Malig neoplasm of prph nerves of unsp lower limb, inc hip    Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip
01777 C4721   1 Malig neoplasm of prph nerves of right lower limb, inc hip   Malignant neoplasm of peripheral nerves of right lower limb, including hip
01778 C4722   1 Malig neoplasm of prph nerves of left lower limb, inc hip    Malignant neoplasm of peripheral nerves of left lower limb, including hip
01779 C473    1 Malignant neoplasm of peripheral nerves of thorax            Malignant neoplasm of peripheral nerves of thorax
01780 C474    1 Malignant neoplasm of peripheral nerves of abdomen           Malignant neoplasm of peripheral nerves of abdomen
01781 C475    1 Malignant neoplasm of peripheral nerves of pelvis            Malignant neoplasm of peripheral nerves of pelvis
01782 C476    1 Malignant neoplasm of peripheral nerves of trunk, unsp       Malignant neoplasm of peripheral nerves of trunk, unspecified
01783 C478    1 Malig neoplm of ovrlp sites of prph nrv and autonm nrv sys   Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system
01784 C479    1 Malig neoplasm of prph nerves and autonm nervous sys, unsp   Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified
01785 C48     0 Malignant neoplasm of retroperitoneum and peritoneum         Malignant neoplasm of retroperitoneum and peritoneum
01786 C480    1 Malignant neoplasm of retroperitoneum                        Malignant neoplasm of retroperitoneum
01787 C481    1 Malignant neoplasm of specified parts of peritoneum          Malignant neoplasm of specified parts of peritoneum
01788 C482    1 Malignant neoplasm of peritoneum, unspecified                Malignant neoplasm of peritoneum, unspecified
01789 C488    1 Malig neoplasm of ovrlp sites of retroperiton and peritoneum Malignant neoplasm of overlapping sites of retroperitoneum and peritoneum
01790 C49     0 Malignant neoplasm of other connective and soft tissue       Malignant neoplasm of other connective and soft tissue
01791 C490    1 Malig neoplm of conn and soft tissue of head, face and neck  Malignant neoplasm of connective and soft tissue of head, face and neck
01792 C491    0 Malig neoplm of conn and soft tiss of upper limb, inc shldr  Malignant neoplasm of connective and soft tissue of upper limb, including shoulder
01793 C4910   1 Malig neoplm of conn & soft tiss of unsp upr lmb, inc shldr  Malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder
01794 C4911   1 Malig neoplm of conn and soft tiss of r upr limb, inc shldr  Malignant neoplasm of connective and soft tissue of right upper limb, including shoulder
01795 C4912   1 Malig neoplm of conn and soft tiss of l upr limb, inc shldr  Malignant neoplasm of connective and soft tissue of left upper limb, including shoulder
01796 C492    0 Malig neoplm of conn and soft tissue of lower limb, inc hip  Malignant neoplasm of connective and soft tissue of lower limb, including hip
01797 C4920   1 Malig neoplm of conn and soft tiss of unsp low limb, inc hip Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip
01798 C4921   1 Malig neoplm of conn and soft tiss of r low limb, inc hip    Malignant neoplasm of connective and soft tissue of right lower limb, including hip
01799 C4922   1 Malig neoplm of conn and soft tiss of left low limb, inc hip Malignant neoplasm of connective and soft tissue of left lower limb, including hip
01800 C493    1 Malignant neoplasm of connective and soft tissue of thorax   Malignant neoplasm of connective and soft tissue of thorax
01801 C494    1 Malignant neoplasm of connective and soft tissue of abdomen  Malignant neoplasm of connective and soft tissue of abdomen
01802 C495    1 Malignant neoplasm of connective and soft tissue of pelvis   Malignant neoplasm of connective and soft tissue of pelvis
01803 C496    1 Malignant neoplasm of conn and soft tissue of trunk, unsp    Malignant neoplasm of connective and soft tissue of trunk, unspecified
01804 C498    1 Malignant neoplasm of ovrlp sites of conn and soft tissue    Malignant neoplasm of overlapping sites of connective and soft tissue
01805 C499    1 Malignant neoplasm of connective and soft tissue, unsp       Malignant neoplasm of connective and soft tissue, unspecified
01806 C49A    0 Gastrointestinal stromal tumor                               Gastrointestinal stromal tumor
01807 C49A0   1 Gastrointestinal stromal tumor, unspecified site             Gastrointestinal stromal tumor, unspecified site
01808 C49A1   1 Gastrointestinal stromal tumor of esophagus                  Gastrointestinal stromal tumor of esophagus
01809 C49A2   1 Gastrointestinal stromal tumor of stomach                    Gastrointestinal stromal tumor of stomach
01810 C49A3   1 Gastrointestinal stromal tumor of small intestine            Gastrointestinal stromal tumor of small intestine
01811 C49A4   1 Gastrointestinal stromal tumor of large intestine            Gastrointestinal stromal tumor of large intestine
01812 C49A5   1 Gastrointestinal stromal tumor of rectum                     Gastrointestinal stromal tumor of rectum
01813 C49A9   1 Gastrointestinal stromal tumor of other sites                Gastrointestinal stromal tumor of other sites
01814 C50     0 Malignant neoplasm of breast                                 Malignant neoplasm of breast
01815 C500    0 Malignant neoplasm of nipple and areola                      Malignant neoplasm of nipple and areola
01816 C5001   0 Malignant neoplasm of nipple and areola, female              Malignant neoplasm of nipple and areola, female
01817 C50011  1 Malignant neoplasm of nipple and areola, right female breast Malignant neoplasm of nipple and areola, right female breast
01818 C50012  1 Malignant neoplasm of nipple and areola, left female breast  Malignant neoplasm of nipple and areola, left female breast
01819 C50019  1 Malignant neoplasm of nipple and areola, unsp female breast  Malignant neoplasm of nipple and areola, unspecified female breast
01820 C5002   0 Malignant neoplasm of nipple and areola, male                Malignant neoplasm of nipple and areola, male
01821 C50021  1 Malignant neoplasm of nipple and areola, right male breast   Malignant neoplasm of nipple and areola, right male breast
01822 C50022  1 Malignant neoplasm of nipple and areola, left male breast    Malignant neoplasm of nipple and areola, left male breast
01823 C50029  1 Malignant neoplasm of nipple and areola, unsp male breast    Malignant neoplasm of nipple and areola, unspecified male breast
01824 C501    0 Malignant neoplasm of central portion of breast              Malignant neoplasm of central portion of breast
01825 C5011   0 Malignant neoplasm of central portion of breast, female      Malignant neoplasm of central portion of breast, female
01826 C50111  1 Malignant neoplasm of central portion of right female breast Malignant neoplasm of central portion of right female breast
01827 C50112  1 Malignant neoplasm of central portion of left female breast  Malignant neoplasm of central portion of left female breast
01828 C50119  1 Malignant neoplasm of central portion of unsp female breast  Malignant neoplasm of central portion of unspecified female breast
01829 C5012   0 Malignant neoplasm of central portion of breast, male        Malignant neoplasm of central portion of breast, male
01830 C50121  1 Malignant neoplasm of central portion of right male breast   Malignant neoplasm of central portion of right male breast
01831 C50122  1 Malignant neoplasm of central portion of left male breast    Malignant neoplasm of central portion of left male breast
01832 C50129  1 Malignant neoplasm of central portion of unsp male breast    Malignant neoplasm of central portion of unspecified male breast
01833 C502    0 Malignant neoplasm of upper-inner quadrant of breast         Malignant neoplasm of upper-inner quadrant of breast
01834 C5021   0 Malignant neoplasm of upper-inner quadrant of breast, female Malignant neoplasm of upper-inner quadrant of breast, female
01835 C50211  1 Malig neoplm of upper-inner quadrant of right female breast  Malignant neoplasm of upper-inner quadrant of right female breast
01836 C50212  1 Malig neoplasm of upper-inner quadrant of left female breast Malignant neoplasm of upper-inner quadrant of left female breast
